source_url	source_url_normalized	ref	fact	bias
http://www.villagevoice.com/	villagevoice.com	http://mediabiasfactcheck.com/the-village-voice/	high	left
https://insideclimatenews.org/	insideclimatenews.org	https://mediabiasfactcheck.com/insideclimate-news/	high	left-center
http://www.fury.news/	fury.news	http://mediabiasfactcheck.com/fury-news/	low	extreme-right
http://now8news.com/	now8news.com	http://mediabiasfactcheck.com/now8news/	low	center
http://constitution.com/	constitution.com	http://mediabiasfactcheck.com/the-constitution/	low	extreme-right
http://freebeacon.com/	freebeacon.com	http://mediabiasfactcheck.com/washington-free-beacon/	mixed	right
http://brexitcentral.com	brexitcentral.com	https://mediabiasfactcheck.com/brexitcentral/	mixed	right
http://foreignpolicynews.org	foreignpolicynews.org	https://mediabiasfactcheck.com/foreign-policy-news/	mixed	left
https://patriotpost.us/	patriotpost.us	http://mediabiasfactcheck.com/the-patriot-post/	mixed	right
http://loser.com	loser.com	https://mediabiasfactcheck.com/loser-com/	low	extreme-left
http://www.empiresports.co/	empiresports.co	http://mediabiasfactcheck.com/empire-sports-news/	low	center
http://www.emirates247.com/	emirates247.com	http://mediabiasfactcheck.com/emirates-247/	high	left-center
http://samuel-warde.com/	samuel-warde.com	http://mediabiasfactcheck.com/liberals-unite-samuel-warde/	mixed	left
http://www.trueactivist.com/	trueactivist.com	http://mediabiasfactcheck.com/true-activist/	low	extreme-left
https://popularresistance.org/	popularresistance.org	https://mediabiasfactcheck.com/popular-resistance/	mixed	left
https://www.thebeaverton.com/	thebeaverton.com	http://mediabiasfactcheck.com/the-beaverton/	low	center
http://nationalreport.net/	nationalreport.net	http://mediabiasfactcheck.com/national-report/	low	center
https://politicalmayhem.news	politicalmayhem.news	https://mediabiasfactcheck.com/political-mayhem-news/	low	extreme-right
http://www.itv.com/news/	itv.com-news	http://mediabiasfactcheck.com/itv-news/	high	right-center
http://www.breitbart.com/	breitbart.com	http://mediabiasfactcheck.com/breitbart/	mixed	right
http://www.forwardprogressives.com/	forwardprogressives.com	http://mediabiasfactcheck.com/forward-progressives/	high	left
https://triggerreset.net	triggerreset.net	https://mediabiasfactcheck.com/triggerreset/	low	extreme-right
https://www.theatlantic.com/	theatlantic.com	http://mediabiasfactcheck.com/the-atlantic/	high	left-center
http://www.dcclothesline.com/	dcclothesline.com	http://mediabiasfactcheck.com/the-d-c-clothesline/	low	extreme-right
http://liberaldarkness.com/	liberaldarkness.com	http://mediabiasfactcheck.com/liberal-darkness/	low	center
http://leftoverrights.com/	leftoverrights.com	http://mediabiasfactcheck.com/left-over-rights/	mixed	left
http://inthesetimes.com/	inthesetimes.com	http://mediabiasfactcheck.com/in-these-times/	high	left
http://www.tampabay.com/	tampabay.com	http://mediabiasfactcheck.com/tampa-bay-times/	high	left-center
http://france24-tv.com/	france24-tv.com	https://mediabiasfactcheck.com/france24-tv-com/	low	extreme-right
http://freewestmedia.com/	freewestmedia.com	http://mediabiasfactcheck.com/free-west-media/	mixed	right
https://theguardiansofdemocracy.com/	theguardiansofdemocracy.com	https://mediabiasfactcheck.com/guardians-of-democracy/	high	left
http://www.darientimes.com/	darientimes.com	https://mediabiasfactcheck.com/darien-times/	high	left-center
https://www.conservativeoutfitters.com/blogs/news	conservativeoutfitters.com-blogs-news	http://mediabiasfactcheck.com/conservative-outfitters/	mixed	right
