source_url,source_url_processed,URL,fact,bias
http://www.villagevoice.com/,villagevoice.com,http://mediabiasfactcheck.com/the-village-voice/,HIGH,left
https://insideclimatenews.org/,insideclimatenews.org,https://mediabiasfactcheck.com/insideclimate-news/,HIGH,left-center
http://www.fury.news/,fury.news,http://mediabiasfactcheck.com/fury-news/,LOW,extreme-right
http://now8news.com/,now8news.com,http://mediabiasfactcheck.com/now8news/,LOW,center
http://constitution.com/,constitution.com,http://mediabiasfactcheck.com/the-constitution/,LOW,extreme-right
http://freebeacon.com/,freebeacon.com,http://mediabiasfactcheck.com/washington-free-beacon/,MIXED,right
http://brexitcentral.com,brexitcentral.com,https://mediabiasfactcheck.com/brexitcentral/,MIXED,right
http://foreignpolicynews.org,foreignpolicynews.org,https://mediabiasfactcheck.com/foreign-policy-news/,MIXED,left
https://patriotpost.us/,patriotpost.us,http://mediabiasfactcheck.com/the-patriot-post/,MIXED,right
http://loser.com,loser.com,https://mediabiasfactcheck.com/loser-com/,LOW,extreme-left
http://www.empiresports.co/,empiresports.co,http://mediabiasfactcheck.com/empire-sports-news/,LOW,center
http://www.emirates247.com/,emirates247.com,http://mediabiasfactcheck.com/emirates-247/,HIGH,left-center
http://samuel-warde.com/,samuel-warde.com,http://mediabiasfactcheck.com/liberals-unite-samuel-warde/,MIXED,left
http://www.trueactivist.com/,trueactivist.com,http://mediabiasfactcheck.com/true-activist/,LOW,extreme-left
https://popularresistance.org/,popularresistance.org,https://mediabiasfactcheck.com/popular-resistance/,MIXED,left
https://www.thebeaverton.com/,thebeaverton.com,http://mediabiasfactcheck.com/the-beaverton/,LOW,center
http://nationalreport.net/,nationalreport.net,http://mediabiasfactcheck.com/national-report/,LOW,center
https://politicalmayhem.news,politicalmayhem.news,https://mediabiasfactcheck.com/political-mayhem-news/,LOW,extreme-right
http://www.itv.com/news/,itv.com-news,http://mediabiasfactcheck.com/itv-news/,HIGH,right-center
http://www.breitbart.com/,breitbart.com,http://mediabiasfactcheck.com/breitbart/,MIXED,right
http://www.forwardprogressives.com/,forwardprogressives.com,http://mediabiasfactcheck.com/forward-progressives/,HIGH,left
https://triggerreset.net,triggerreset.net,https://mediabiasfactcheck.com/triggerreset/,LOW,extreme-right
https://www.theatlantic.com/,theatlantic.com,http://mediabiasfactcheck.com/the-atlantic/,HIGH,left-center
http://www.dcclothesline.com/,dcclothesline.com,http://mediabiasfactcheck.com/the-d-c-clothesline/,LOW,extreme-right
http://liberaldarkness.com/,liberaldarkness.com,http://mediabiasfactcheck.com/liberal-darkness/,LOW,center
http://leftoverrights.com/,leftoverrights.com,http://mediabiasfactcheck.com/left-over-rights/,MIXED,left
http://inthesetimes.com/,inthesetimes.com,http://mediabiasfactcheck.com/in-these-times/,HIGH,left
http://www.tampabay.com/,tampabay.com,http://mediabiasfactcheck.com/tampa-bay-times/,HIGH,left-center
http://france24-tv.com/,france24-tv.com,https://mediabiasfactcheck.com/france24-tv-com/,LOW,extreme-right
http://freewestmedia.com/,freewestmedia.com,http://mediabiasfactcheck.com/free-west-media/,MIXED,right
https://theguardiansofdemocracy.com/,theguardiansofdemocracy.com,https://mediabiasfactcheck.com/guardians-of-democracy/,HIGH,left
http://www.darientimes.com/,darientimes.com,https://mediabiasfactcheck.com/darien-times/,HIGH,left-center
